Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Profit
FDV02,0,Low Fat,0.060252433,Dairy,170.7,OUT027,1985,Medium,Tier 2,Supermarket Type3,3079.9908,13.9
FDS28,8.18,reg,0.082529704,Frozen Foods,57,OUT049,1999,Medium,Tier 2,Supermarket Type1,744.3644,14.3
FDW49,19.5,Low Fat,0.082552214,Canned,179.8,OUT046,1997,Small,Tier1,Supermarket Type1,716.4008,13.1
FDP33,18.7,Low Fat,0.089272253,Snack Foods,254.8,OUT046,1997,Small,Tier1,Supermarket Type1,5113.344,14.7
FDJ03,12.35,Regular,0.072541731,Dairy,48.6,OUT045,2002,,,Supermarket Type1,886.8456,13.8
FDQ51,16,Regular,0.017536671,Meat,45.6,OUT013,1987,High,Tier 3,Supermarket Type1,1039.9796,13.9
DRK23,8.395,Low Fat,0.072088552,Hard Drinks,253.7,OUT049,1999,Medium,Tier 2,Supermarket Type1,4554.072,14.2
FDU11,4.785,Low Fat,0.092781435,Breads,119.7,OUT045,2002,,,Supermarket Type1,1807.647,12
NCK06,5.03,Low Fat,0.008644894,Household,122.7,OUT035,2004,Small,Tier1,Supermarket Type1,2665.8632,13.7
FDY09,15.6,Low Fat,0.025342692,Snack Foods,174.3,OUT017,2007,,?,Supermarket Type1,1751.054,14.2
NCY18,7.285,Low Fat,0.031145743,Household,173.6,OUT035,2004,Small,Tier1,Supermarket Type1,2626.581,12.9
FDA10,20.35,Low Fat,0,Snack Foods,120.9,OUT049,1999,Medium,Tier 2,Supermarket Type1,1470.0864,14.2
FDO34,17.7,Low Fat,0.030108283,Snack Foods,166,OUT017,2007,,,Supermarket Type1,4362.3216,14.6
FDE38,0,Low Fat,0.044391149,Canned,164.4,OUT027,1985,Medium,Tier 2,Supermarket Type3,4476.1734,13.9
FDF40,20.25,Regular,0.022639471,Dairy,248.4,OUT017,2007,,,Supermarket Type1,2241.0828,13.3
FDY02,8.945,Regular,0,Dairy,264.8,OUT017,2007,,,Supermarket Type1,4733.838,14.6
FDS03,,Low Fat,0.139419417,Meat,66.1,OUT019,1985,Small,Tier1,Grocery Store,258.3304,13.8
FDB59,18.25,Low Fat,0.015278899,Snack Foods,199,OUT046,1997,Small,Tier1,Supermarket Type1,3174.5344,14.2
NCQ42,20.35,Low Fat,0.039329257,Household,127.7,OUT049,1999,Medium,Tier 2,Supermarket Type1,2924.8594,13.8
FDO15,16.75,Regular,0.008579863,Meat,72.3,OUT049,1999,Medium,Tier 2,Supermarket Type1,960.7494,12.6
DRN47,12.1,Low Fat,0.028164527,Hard Drinks,178.2,OUT010,1998,,?,Grocery Store,539.298,13.9
FDA03,18.5,Regular,0,Dairy,144.2,OUT035,2004,Small,Tier1,Supermarket Type1,2041.3428,14.5
FDA01,15,Regular,0.054367971,Canned,58.6,OUT035,2004,Small,Tier1,Supermarket Type1,996.0368,14.2
FDB38,19.5,Regular,0.0273467,Canned,159,OUT046,1997,Small,Tier1,Supermarket Type1,1757.712,12.7
FDT59,13.65,Low Fat,0.016001434,Breads,230.7,OUT017,2007,,,Supermarket Type1,1842.9344,14.1
FDG08,13.15,Regular,0.165328057,Fruits and Vegetables,170.7,OUT035,2004,Small,Tier1,Supermarket Type1,3435.528,13.9
FDV56,,Regular,0.013529884,Fruits and Vegetables,106.3,OUT027,1985,Medium,Tier 2,Supermarket Type3,1402.1748,13.1
FDY26,20.6,reg,0.030510526,Dairy,211.4,OUT046,1997,Small,Tier1,Supermarket Type1,7833.8028,14.6
DRE13,6.28,Low Fat,0.027699863,Soft Drinks,87.9,OUT035,2004,Small,Tier1,Supermarket Type1,1221.0772,11.4
FDE51,5.925,Regular,0.09646733,Dairy,42.8,OUT046,1997,Small,Tier1,Supermarket Type1,669.129,12.3
FDL40,17.7,Low Fat,0.011636708,Frozen Foods,94.5,OUT045,2002,,,Supermarket Type1,1061.951,14.6
FDD50,18.85,Low Fat,0.141642219,Canned,168.1,OUT046,1997,Small,Tier1,Supermarket Type1,2874.9244,13.9
FDC04,,Low Fat,0.044767801,Dairy,241.9,OUT027,1985,Medium,Tier 2,Supermarket Type3,4592.0226,13.5
FDN15,17.5,Low Fat,0.028009382,Meat,141.7,OUT010,1998,,,Grocery Store,419.454,13
FDC46,17.7,Low Fat,0.1164455,Snack Foods,182.8,OUT013,1987,High,Tier 3,Supermarket Type1,5163.9448,9.3
FDV56,16.1,Regular,0.013584408,Fruits and Vegetables,107.8,OUT013,1987,High,Tier 3,Supermarket Type1,323.5788,2.8
FDK43,9.8,Low Fat,0.026950104,Meat,128.4,OUT018,2009,Medium,Tier 2,Supermarket Type2,1265.02,14.1
NCR29,7.565,Low Fat,0.054751689,Health and Hygiene,54.8,OUT045,2002,,,Supermarket Type1,622.523,13.9
FDY03,17.6,Regular,0.076121831,Meat,111.7,OUT046,1997,Small,Tier1,Supermarket Type1,1125.202,13.9
FDU44,12.15,Regular,0.058516562,Fruits and Vegetables,164.2,OUT049,1999,Medium,Tier 2,Supermarket Type1,5198.5664,14.7
FDZ04,9.31,low fat,0.037923509,Frozen Foods,61.7,OUT013,1987,High,Tier 3,Supermarket Type1,379.506,13.1
FDU16,19.25,Regular,0.058365706,Frozen Foods,82.2,OUT049,1999,Medium,Tier 2,Supermarket Type1,2432.8332,14.6
FDV07,9.5,Low Fat,0.031346387,Fruits and Vegetables,110.7,OUT045,2002,,,Supermarket Type1,1657.842,14.6
NCL19,15.35,Low Fat,0.015663185,Others,143.9,OUT013,1987,High,Tier 3,Supermarket Type1,3006.087,14.4
FDW01,,Low Fat,0.063750302,Canned,153.5,OUT027,1985,Medium,Tier 2,Supermarket Type3,2287.023,14.5
FDC10,,Regular,0.07252476,Snack Foods,120.3,OUT027,1985,Medium,Tier 2,Supermarket Type3,1687.1372,13.5
DRC12,17.85,Low Fat,0.038040837,Soft Drinks,189.1,OUT017,2007,,,Supermarket Type1,3237.1196,13.8
DRK39,7.02,Low Fat,0.049823902,Dairy,82.2,OUT013,1987,High,Tier 3,Supermarket Type1,2746.425,10.8
FDG24,,Low Fat,0.014560297,Baking Goods,81.4,OUT027,1985,Medium,Tier 2,Supermarket Type3,1331.6,14
FDO04,,Low Fat,0.026408698,Frozen Foods,53.3,OUT027,1985,Medium,Tier 2,Supermarket Type3,607.8754,14.3
DRB25,12.3,Low Fat,0.069446588,Soft Drinks,106.4,OUT035,2004,Small,Tier1,Supermarket Type1,857.5504,14.5
FDK26,5.46,Regular,0.03217132,Canned,184.8,OUT035,2004,Small,Tier1,Supermarket Type1,4287.752,14.6
FDM52,15.1,Low Fat,0.026046138,Frozen Foods,147.2,OUT045,2002,,,Supermarket Type1,1773.6912,11
FDY07,11.8,Low Fat,0.121848436,Fruits and Vegetables,46.8,OUT045,2002,,,Supermarket Type1,597.2226,14.5
NCO06,19.25,Low Fat,0.108470504,Household,33.5,OUT018,2009,Medium,Tier 2,Supermarket Type2,441.4254,14.6
FDO10,13.65,Regular,0,Snack Foods,55.9,OUT045,2002,,,Supermarket Type1,1431.47,12.3
FDK34,13.35,Low Fat,0.038494623,Snack Foods,240.3,OUT013,1987,High,Tier 3,Supermarket Type1,2860.2768,14.2
FDS33,,Regular,0.122830885,Snack Foods,87,OUT027,1985,Medium,Tier 2,Supermarket Type3,3364.9532,14.6
FDO45,13.15,Regular,0.038029746,Snack Foods,88.7,OUT045,2002,,,Supermarket Type1,1757.712,14.5
FDF08,14.3,Regular,0.065207559,Fruits and Vegetables,89.9,OUT046,1997,Small,Tier1,Supermarket Type1,966.7416,13.7
FDH58,12.3,Low Fat,0.037014587,Snack Foods,115.2,OUT045,2002,,?,Supermarket Type1,1958.1178,12.8
FDS03,7.825,Low Fat,0.133281968,Meat,63.3,OUT010,1998,,,Grocery Store,129.1652,14.1
DRF03,19.1,Low Fat,0.045299563,Dairy,38.8,OUT035,2004,Small,Tier1,Supermarket Type1,365.5242,12.8
FDE02,8.71,low fat,0.121149472,Canned,93.8,OUT013,1987,High,Tier 3,Supermarket Type1,1783.6782,12
NCZ06,19.6,Low Fat,0.094083303,Household,252.3,OUT013,1987,High,Tier 3,Supermarket Type1,2790.3678,14.6
FDW49,19.5,Low Fat,0,Canned,179.3,OUT049,1999,Medium,Tier 2,Supermarket Type1,2328.3026,12
FDR23,15.85,Low Fat,0,Breads,174.7,OUT017,2007,,,Supermarket Type1,2822.992,14
NCJ29,,Low Fat,0.035022503,Health and Hygiene,85.1,OUT027,1985,Medium,Tier 2,Supermarket Type3,2045.3376,13.2
FDY35,17.6,Regular,0.016060186,Breads,47.2,OUT045,2002,,?,Supermarket Type1,505.3422,13.2
FDZ01,,Regular,0.009014978,Canned,102.7,OUT027,1985,Medium,Tier 2,Supermarket Type3,3095.97,13
FDX19,19.1,Low Fat,0.096733815,Fruits and Vegetables,233.2,OUT046,1997,Small,Tier1,Supermarket Type1,5141.3076,13.2
FDG44,6.13,Low Fat,0.102607233,Fruits and Vegetables,54,OUT018,2009,Medium,Tier 2,Supermarket Type2,808.947,14.3
FDQ23,6.55,Low Fat,0.024521191,Breads,100.6,OUT035,2004,Small,Tier1,Supermarket Type1,2665.8632,10.5
FDY22,16.5,Regular,0.160624116,Snack Foods,143.8,OUT017,2007,,,Supermarket Type1,2588.6304,13.2
NCN41,17,Low Fat,0.052165855,Health and Hygiene,125.1,OUT013,1987,High,Tier 3,Supermarket Type1,1108.557,14.5
FDA47,10.5,Regular,0,Baking Goods,162.4,OUT045,2002,,?,Supermarket Type1,1304.968,14.7
NCD19,8.93,Low Fat,0,Household,55.5,OUT045,2002,,?,Supermarket Type1,331.5684,13.5
FDO36,,Low Fat,0.07753654,Baking Goods,180.9,OUT027,1985,Medium,Tier 2,Supermarket Type3,3235.788,14.4
FDH20,16.1,Regular,0.024928351,Fruits and Vegetables,95.1,OUT013,1987,High,Tier 3,Supermarket Type1,3089.312,11.8
FDN12,,LF,0.08071118,Baking Goods,113.2,OUT027,1985,Medium,Tier 2,Supermarket Type3,3355.632,13.8
NCJ30,5.82,Low Fat,0.080968973,Household,171.4,OUT018,2009,Medium,Tier 2,Supermarket Type2,2037.348,12.1
FDB09,16.25,Low Fat,0.057485328,Fruits and Vegetables,126.2,OUT049,1999,Medium,Tier 2,Supermarket Type1,1867.569,14.5
FDA09,13.35,Regular,0.149669322,Snack Foods,180.3,OUT045,2002,,,Supermarket Type1,898.83,13.8
FDL24,,Regular,0.024776026,Baking Goods,172.3,OUT027,1985,Medium,Tier 2,Supermarket Type3,7759.899,13.1
FDP03,5.15,Regular,0.061165512,Meat,125.6,OUT035,2004,Small,Tier1,Supermarket Type1,2848.2924,9.8
FDR58,,Low Fat,0.041718456,Snack Foods,94.5,OUT027,1985,Medium,Tier 2,Supermarket Type3,2868.9322,14.7
FDO13,7.865,Low Fat,0.06100886,Breakfast,166.1,OUT013,1987,High,Tier 3,Supermarket Type1,3617.9572,14.5
DRD49,9.895,Low Fat,0.167799329,Soft Drinks,239.5,OUT035,2004,Small,Tier1,Supermarket Type1,5243.8408,13.7
NCF42,17.35,Low Fat,0.167351411,Household,176.1,OUT035,2004,Small,Tier1,Supermarket Type1,2109.2544,14.6
DRK35,8.365,Low Fat,0.071832909,Hard Drinks,36.2,OUT035,2004,Small,Tier1,Supermarket Type1,721.0614,12.5
FDR58,6.675,Low Fat,0.041886576,Snack Foods,92.1,OUT013,1987,High,Tier 3,Supermarket Type1,1203.1006,5.2
FDQ15,,Regular,0.150341867,Meat,83.1,OUT027,1985,Medium,Tier 2,Supermarket Type3,1868.2348,13.9
NCP50,17.35,Low Fat,0.020542737,Others,80.6,OUT013,1987,High,Tier 3,Supermarket Type1,322.2472,14
FDV45,16.75,Low Fat,0.045047439,Snack Foods,186.5,OUT046,1997,Small,Tier1,Supermarket Type1,3942.8676,13.3
DRP35,18.85,Low Fat,0.091008572,Hard Drinks,129.6,OUT049,1999,Medium,Tier 2,Supermarket Type1,3195.84,13.4
FDN23,6.575,Regular,0.07549348,Breads,143.5,OUT035,2004,Small,Tier1,Supermarket Type1,3338.3212,14.3
FDS44,12.65,Regular,0.156286566,Fruits and Vegetables,239,OUT049,1999,Medium,Tier 2,Supermarket Type1,4086.0146,12.4
NCI54,15.2,Low Fat,0.033735909,Household,111,OUT018,2009,Medium,Tier 2,Supermarket Type2,1856.2504,11.7
FDH40,,Regular,0.078547351,Frozen Foods,79.3,OUT027,1985,Medium,Tier 2,Supermarket Type3,1380.8692,14.2
FDF46,7.07,Low Fat,0.093653464,Snack Foods,113.4,OUT035,2004,Small,Tier1,Supermarket Type1,1267.0174,14.2
FDA21,13.65,Low Fat,0.036107198,Snack Foods,184.5,OUT018,2009,Medium,Tier 2,Supermarket Type2,5182.5872,9.7
FDI41,,Regular,0.109003832,Frozen Foods,145.2,OUT019,1985,Small,Tier1,Grocery Store,147.1418,14.4
FDE35,7.06,Regular,0.073480266,Starchy Foods,58.9,OUT010,1998,,,Grocery Store,58.5904,11.8
DRJ24,11.8,Low Fat,0.113234914,Soft Drinks,186.4,OUT013,1987,High,Tier 3,Supermarket Type1,5367.6796,14.1
NCK17,,Low Fat,0.037711338,Health and Hygiene,41.5,OUT027,1985,Medium,Tier 2,Supermarket Type3,1358.232,14.7
FDA15,9.3,Low Fat,0.016054884,Dairy,250.2,OUT045,2002,,,Supermarket Type1,5976.2208,14
FDD36,,Low Fat,0.021170542,Baking Goods,117.6,OUT027,1985,Medium,Tier 2,Supermarket Type3,2251.7356,14.7
DRD60,,Low Fat,0.065188619,Soft Drinks,181.2,OUT019,1985,Small,Tier1,Grocery Store,181.7634,12.2
FDA46,13.6,Low Fat,0.117537563,Snack Foods,195.4,OUT013,1987,High,Tier 3,Supermarket Type1,5443.5808,12.5
NCO54,19.5,Low Fat,0.01430324,Household,57.3,OUT045,2002,,,Supermarket Type1,1547.3192,14.8
FDL48,19.35,Regular,0.137697119,Baking Goods,47.1,OUT010,1998,,?,Grocery Store,145.8102,14.4
NCM19,,Low Fat,0.047008497,Others,112,OUT027,1985,Medium,Tier 2,Supermarket Type3,5063.409,14.6
FDS31,13.1,reg,0,Fruits and Vegetables,178.9,OUT049,1999,Medium,Tier 2,Supermarket Type1,3067.3406,13.4
FDV12,16.7,Regular,0.060863167,Baking Goods,97.6,OUT035,2004,Small,Tier1,Supermarket Type1,2857.6136,11.3
FDQ31,5.785,Regular,0,Fruits and Vegetables,87.2,OUT035,2004,Small,Tier1,Supermarket Type1,1406.1696,13.5
FDK55,,Low Fat,0.045105407,Meat,89.4,OUT019,1985,Small,Tier1,Grocery Store,178.4344,12.6
DRG15,6.13,Low Fat,0.076855207,Dairy,59.4,OUT049,1999,Medium,Tier 2,Supermarket Type1,1470.0864,14.8
NCR17,9.8,Low Fat,0.024482644,Health and Hygiene,116.2,OUT018,2009,Medium,Tier 2,Supermarket Type2,2896.23,14.2
FDV01,,Regular,0,Canned,154.6,OUT027,1985,Medium,Tier 2,Supermarket Type3,6515.5188,13.2
FDT21,7.42,Low Fat,0.020474913,Snack Foods,248.4,OUT018,2009,Medium,Tier 2,Supermarket Type2,996.0368,14.3
FDT10,16.7,Regular,0.062044506,Snack Foods,57.5,OUT046,1997,Small,Tier1,Supermarket Type1,948.0992,14.2
FDL56,,Low Fat,0.220225608,Fruits and Vegetables,85.6,OUT019,1985,Small,Tier1,Grocery Store,87.2198,11.9
FDS49,9,Low Fat,0.079794329,Canned,80.2,OUT017,2007,,,Supermarket Type1,1178.466,14.6
FDT32,,Regular,0.114916546,Fruits and Vegetables,188.4,OUT019,1985,Small,Tier1,Grocery Store,565.2642,13.3
NCX42,6.36,Low Fat,0.00597362,Household,164.6,OUT013,1987,High,Tier 3,Supermarket Type1,2137.8838,13.9
FDX26,17.7,LF,0.146973462,Dairy,184.1,OUT010,1998,,,Grocery Store,547.2876,13.2
FDN02,16.5,Low Fat,0.07376631,Canned,208.6,OUT013,1987,High,Tier 3,Supermarket Type1,2691.8294,14.2
FDJ40,,Regular,0.049349121,Frozen Foods,108.7,OUT027,1985,Medium,Tier 2,Supermarket Type3,3057.3536,13.6
FDU13,,low fat,0.328390948,Canned,146,OUT019,1985,Small,Tier1,Grocery Store,588.5672,14.2
DRE27,11.85,Low Fat,0.13267058,Dairy,96.5,OUT046,1997,Small,Tier1,Supermarket Type1,978.726,13.5
FDS27,10.195,Regular,0.012455787,Meat,197.5,OUT035,2004,Small,Tier1,Supermarket Type1,2356.932,13.2
FDU44,,Regular,0.058142797,Fruits and Vegetables,162.2,OUT027,1985,Medium,Tier 2,Supermarket Type3,3086.6488,14.7
DRM59,,Low Fat,0.006289291,Hard Drinks,153.3,OUT019,1985,Small,Tier1,Grocery Store,461.3994,13.9
FDT08,13.65,Low Fat,0.04929502,Fruits and Vegetables,150.5,OUT049,1999,Medium,Tier 2,Supermarket Type1,2696.49,14.3
FDL46,20.35,low fat,0.054362695,Snack Foods,117.9,OUT017,2007,,,Supermarket Type1,1649.8524,13.1
NCV30,20.2,Low Fat,0.110356797,Household,62.1,OUT010,1998,,,Grocery Store,126.502,13.7
FDP51,13.85,Regular,0.085274988,Meat,119.6,OUT046,1997,Small,Tier1,Supermarket Type1,2014.7108,14.4
FDA51,8.05,Regular,0.164542555,Dairy,112.3,OUT013,1987,High,Tier 3,Supermarket Type1,1707.777,14.5
FDM46,7.365,Low Fat,0.160292264,Snack Foods,94.7,OUT045,2002,,,Supermarket Type1,932.12,12.9
FDK02,12.5,Low Fat,0.112859454,Canned,118.3,OUT017,2007,,,Supermarket Type1,2157.192,14.4
FDJ57,7.42,Regular,0.021569566,Seafood,184.9,OUT035,2004,Small,Tier1,Supermarket Type1,4643.955,14.5
FDJ45,,Low Fat,0.073055148,Seafood,33.7,OUT027,1985,Medium,Tier 2,Supermarket Type3,1280.9992,11.6
NCB31,6.235,Low Fat,0.119345629,Household,262,OUT017,2007,,,Supermarket Type1,2366.919,14.5
FDJ03,12.35,Regular,0.072334667,Dairy,49.2,OUT013,1987,High,Tier 3,Supermarket Type1,886.8456,14
FDT50,6.75,Regular,0.108148913,Dairy,95.7,OUT013,1987,High,Tier 3,Supermarket Type1,958.752,14.4
NCY41,16.75,Low Fat,0.07585337,Health and Hygiene,36.9,OUT049,1999,Medium,Tier 2,Supermarket Type1,1150.5024,14.7
FDJ60,19.35,Regular,0.062655235,Baking Goods,163.3,OUT045,2002,,,Supermarket Type1,2641.8944,14.4
FDZ35,9.6,Regular,0.022278477,Breads,102.5,OUT046,1997,Small,Tier1,Supermarket Type1,1547.985,13
FDS21,19.85,Regular,0.020961192,Snack Foods,62,OUT018,2009,Medium,Tier 2,Supermarket Type2,619.194,14.6
FDM52,15.1,Low Fat,0.025993423,Frozen Foods,147.4,OUT046,1997,Small,Tier1,Supermarket Type1,2808.3444,14.1
FDQ08,,Regular,0.018838681,Fruits and Vegetables,63,OUT027,1985,Medium,Tier 2,Supermarket Type3,2266.3832,13.4
FDQ56,6.59,Low Fat,0.105577348,Fruits and Vegetables,85.7,OUT035,2004,Small,Tier1,Supermarket Type1,1929.4884,13.3
FDS47,16.75,Low Fat,0.129086113,Breads,89.5,OUT049,1999,Medium,Tier 2,Supermarket Type1,1054.6272,12.3
DRM48,15.2,Low Fat,0.113125627,Soft Drinks,38.7,OUT045,2002,,,Supermarket Type1,1155.8288,13.4
FDW46,13,Regular,0.070699313,Snack Foods,65.7,OUT017,2007,,,Supermarket Type1,1174.4712,13.7
FDW27,5.86,Regular,0.151467821,Meat,154.1,OUT018,2009,Medium,Tier 2,Supermarket Type2,3412.8908,14
NCQ05,11.395,Low Fat,0.03616416,Health and Hygiene,140.2,OUT010,1998,,,Grocery Store,300.9416,14.3
FDU40,20.85,Low Fat,0.062606583,Frozen Foods,192.2,OUT010,1998,,,Grocery Store,387.4956,11.4
DRE12,,Low Fat,0.0704378,Soft Drinks,112.9,OUT027,1985,Medium,Tier 2,Supermarket Type3,2942.836,13.4
FDX35,5.035,Regular,0.079844043,Breads,226.3,OUT013,1987,High,Tier 3,Supermarket Type1,4098.6648,14.1
FDD51,11.15,Low Fat,0.120139206,Dairy,45.1,OUT049,1999,Medium,Tier 2,Supermarket Type1,452.744,10.5
FDY27,6.38,Low Fat,0.032028115,Dairy,178.3,OUT018,2009,Medium,Tier 2,Supermarket Type2,3211.8192,13.2
NCN06,8.39,Low Fat,0.120497266,Household,162.3,OUT046,1997,Small,Tier1,Supermarket Type1,2620.5888,10.1
FDR57,5.675,Regular,0.023492524,Snack Foods,155.5,OUT035,2004,Small,Tier1,Supermarket Type1,1414.1592,12.5
FDL32,15.7,Regular,0.122657336,Fruits and Vegetables,110.2,OUT049,1999,Medium,Tier 2,Supermarket Type1,1565.9616,14.4
FDW46,13,reg,0.070588037,Snack Foods,65.9,OUT018,2009,Medium,Tier 2,Supermarket Type2,1043.9744,14.3
NCO17,,Low Fat,0.073024401,Health and Hygiene,121.8,OUT027,1985,Medium,Tier 2,Supermarket Type3,3115.944,6.1
FDR19,13.5,Regular,0.159587755,Fruits and Vegetables,145.3,OUT013,1987,High,Tier 3,Supermarket Type1,729.051,13.7
FDJ33,8.895,Regular,0.088821765,Snack Foods,125.2,OUT017,2007,,,Supermarket Type1,2956.152,13.4
FDB15,10.895,Low Fat,0.136810742,Dairy,263.1,OUT046,1997,Small,Tier1,Supermarket Type1,527.3136,13.9
FDA52,16.2,Regular,0.128682722,Frozen Foods,178.4,OUT045,2002,,,Supermarket Type1,1058.622,14
FDZ08,,Regular,0.109459733,Fruits and Vegetables,84.2,OUT027,1985,Medium,Tier 2,Supermarket Type3,1320.9472,14
FDR27,15.1,Regular,0.096644015,Meat,132,OUT017,2007,,,Supermarket Type1,3047.3666,14.3
NCK42,7.475,Low Fat,0.013120028,Household,217.6,OUT046,1997,Small,Tier1,Supermarket Type1,1725.7536,14
FDZ12,,Low Fat,0,Baking Goods,144.8,OUT019,1985,Small,Tier1,Grocery Store,143.147,14.6
FDM60,10.8,Regular,0.048339408,Baking Goods,41.5,OUT018,2009,Medium,Tier 2,Supermarket Type2,446.7518,13.9
NCI31,20,Low Fat,0.08165845,Others,35,OUT018,2009,Medium,Tier 2,Supermarket Type2,585.904,13.7
FDX39,14.3,Regular,0.04975339,Meat,210.4,OUT049,1999,Medium,Tier 2,Supermarket Type1,6331.758,14.7
NCV05,10.1,Low Fat,0.030379382,Health and Hygiene,153.5,OUT017,2007,,,Supermarket Type1,1853.5872,14.7
FDX16,17.85,LF,0.065810045,Frozen Foods,149.1,OUT046,1997,Small,Tier1,Supermarket Type1,2247.075,13.5
DRK12,9.5,Low Fat,0,Soft Drinks,32.9,OUT010,1998,,,Grocery Store,33.29,10.5
NCA05,20.75,Low Fat,0.025272781,Health and Hygiene,146.7,OUT017,2007,,,Supermarket Type1,445.4202,13.6
DRG51,12.1,Low Fat,0.019314961,Dairy,164.7,OUT010,1998,,,Grocery Store,657.8104,14.2
NCR30,20.6,Low Fat,0.071282168,Household,74.5,OUT018,2009,Medium,Tier 2,Supermarket Type2,223.7088,14.5
NCE31,7.67,Low Fat,0.184843579,Household,33.1,OUT046,1997,Small,Tier1,Supermarket Type1,727.0536,14.9
FDM56,0,Low Fat,0.122896411,Fruits and Vegetables,111.2,OUT019,1985,Small,Tier1,Grocery Store,218.3824,13.1
FDP24,20.6,Low Fat,0.082935004,Baking Goods,119.6,OUT013,1987,High,Tier 3,Supermarket Type1,2665.8632,14.3
DRM37,15.35,Low Fat,0.161350176,Soft Drinks,196.7,OUT010,1998,,,Grocery Store,591.2304,10.1
FDN56,5.46,Regular,0.106968096,Fruits and Vegetables,142.7,OUT013,1987,High,Tier 3,Supermarket Type1,2311.6576,14.4
DRE60,9.395,Low Fat,0.159582185,Soft Drinks,224.8,OUT049,1999,Medium,Tier 2,Supermarket Type1,7017.532,14.2
FDW49,0,Low Fat,0.14453827,Canned,180.6,OUT019,1985,Small,Tier1,Grocery Store,895.501,10.1
FDM20,10,Low Fat,0.038685802,Fruits and Vegetables,243.8,OUT046,1997,Small,Tier1,Supermarket Type1,4655.2736,14.5
FDK15,0,Low Fat,0.172309903,Meat,98.2,OUT019,1985,Small,Tier1,Grocery Store,198.4084,13.4
FDK48,7.445,Low Fat,0.037690731,Baking Goods,73.3,OUT049,1999,Medium,Tier 2,Supermarket Type1,451.4124,14.4
FDO49,0,Regular,0.05787008,Breakfast,49.7,OUT019,1985,Small,Tier1,Grocery Store,50.6008,14.2
FDC09,15.5,Regular,0.026409147,Fruits and Vegetables,102.1,OUT018,2009,Medium,Tier 2,Supermarket Type2,615.1992,7.1
NCZ41,19.85,Low Fat,0.064367627,Health and Hygiene,126.2,OUT013,1987,High,Tier 3,Supermarket Type1,876.1928,13.8
FDP19,11.5,Low Fat,0.173516063,Fruits and Vegetables,128.2,OUT046,1997,Small,Tier1,Supermarket Type1,2454.1388,13.5
FDQ24,0,Low Fat,0.12898088,Baking Goods,250.5,OUT019,1985,Small,Tier1,Grocery Store,251.6724,13.6
DRL11,10.5,Low Fat,0.048115543,Hard Drinks,159.1,OUT045,2002,,,Supermarket Type1,4102.6596,14.5
FDO36,19.7,Low Fat,0.077899109,Baking Goods,177.8,OUT035,2004,Small,Tier1,Supermarket Type1,2696.49,2.3
FDN52,0,Regular,0.13093275,Frozen Foods,86.9,OUT027,1985,Medium,Tier 2,Supermarket Type3,1569.9564,14.1
FDF21,10.3,Regular,0.098464979,Fruits and Vegetables,188.7,OUT010,1998,,,Grocery Store,189.753,12.7
FDU40,20.85,Low Fat,0.037372847,Frozen Foods,192.7,OUT013,1987,High,Tier 3,Supermarket Type1,3099.9648,14.7
FDS51,13.35,Low Fat,0.032230526,Meat,61.4,OUT049,1999,Medium,Tier 2,Supermarket Type1,743.0328,13.9
FDE45,12.1,Low Fat,0.040357315,Fruits and Vegetables,177.8,OUT046,1997,Small,Tier1,Supermarket Type1,1611.9018,13.5
FDX50,20.1,Low Fat,0.07461309,Dairy,108.7,OUT035,2004,Small,Tier1,Supermarket Type1,1215.7508,13
NCN14,0,Low Fat,0.160936178,Others,184.3,OUT019,1985,Small,Tier1,Grocery Store,367.5216,14.3
FDQ21,21.25,Low Fat,0.019502354,Snack Foods,120.9,OUT018,2009,Medium,Tier 2,Supermarket Type2,3150.5656,13.1
FDV57,0,Regular,0.065577449,Snack Foods,181.8,OUT027,1985,Medium,Tier 2,Supermarket Type3,7370.406,11.6
FDB44,6.655,Low Fat,0.016944719,Fruits and Vegetables,209.3,OUT013,1987,High,Tier 3,Supermarket Type1,2954.8204,14.3
FDG52,13.65,Low Fat,0.065576228,Frozen Foods,47.7,OUT013,1987,High,Tier 3,Supermarket Type1,643.1628,14.1
FDL38,0,Regular,0.02579577,Canned,88.4,OUT019,1985,Small,Tier1,Grocery Store,89.2172,12.2
NCS54,13.6,Low Fat,0.010008699,Household,176.7,OUT049,1999,Medium,Tier 2,Supermarket Type1,4940.236,14.2
DRL37,15.5,Low Fat,0.053362086,Soft Drinks,41.6,OUT035,2004,Small,Tier1,Supermarket Type1,735.709,13.9
FDA43,10.895,Low Fat,0.064621927,Fruits and Vegetables,196.7,OUT013,1987,High,Tier 3,Supermarket Type1,1170.4764,14.1
FDZ39,19.7,Regular,0.018126724,Meat,101.8,OUT017,2007,,,Supermarket Type1,1135.189,14.4
FDG45,8.1,Low Fat,0,Fruits and Vegetables,211.9,OUT018,2009,Medium,Tier 2,Supermarket Type2,3823.0236,13.2
FDH10,21,Low Fat,0.049263979,Snack Foods,195,OUT013,1987,High,Tier 3,Supermarket Type1,1549.9824,14.1
FDO10,13.65,Regular,0.021343732,Snack Foods,58.4,OUT010,1998,,,Grocery Store,114.5176,13.1
