Individual ,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age1,MonthlyIncome1
Ind153,No,53,1,1436,1,6,2,3,1,205,2,1,34,3,2,7,3,2,2306,16047,2,1,20,4,4,80,1,13,3,1,7,7,4,5,41.2,10682.951969880505
Ind154,No,45,1,194,2,9,3,1,1,206,2,1,60,3,2,3,2,3,2348,10901,8,2,18,3,3,80,1,20,2,1,17,9,0,15,40.7,11203.000874487898
Ind155,No,32,2,967,1,8,3,3,1,207,2,2,43,3,3,1,4,1,8998,15589,1,2,14,3,4,80,0,9,2,3,9,8,3,7,35.9,11812.535540144905
Ind156,No,29,3,1496,2,1,1,4,1,208,4,1,41,3,2,4,3,2,4319,26283,1,2,13,3,1,80,1,10,1,3,10,7,0,9,31.5,12215.432608946994
Ind157,No,51,1,1169,2,7,4,2,1,211,2,1,34,2,2,4,3,2,6132,13983,2,2,17,3,3,80,0,10,2,3,1,0,0,0,38.6,11660.277796628121
Ind158,No,58,1,1145,2,9,3,2,1,214,2,2,75,2,1,2,2,2,3346,11873,4,1,20,4,2,80,1,9,3,2,1,0,0,0,41.1,8253.73984186068
Ind159,No,40,1,630,1,4,4,3,1,215,3,1,67,2,3,1,4,2,10855,8552,7,2,11,3,1,80,1,15,2,2,12,11,2,11,37.7,12105.590311609682
Ind160,No,34,2,303,1,2,4,3,1,216,3,2,75,3,1,7,3,2,2231,11314,6,2,18,3,4,80,1,6,3,3,4,3,1,2,33.5,11294.427548986201
Ind161,No,22,1,1256,2,19,1,2,1,217,3,1,80,3,1,2,4,2,2323,11992,1,2,24,4,1,80,2,2,6,3,2,2,2,2,38.1,11934.114362928032
Ind162,No,27,3,691,2,9,3,2,1,218,4,1,57,3,1,2,2,3,2024,5970,6,2,18,3,4,80,1,6,1,1,2,2,2,2,34.1,10250.980213477347
Ind163,No,28,1,440,2,21,3,2,1,221,3,1,42,3,1,2,4,2,2713,6672,1,2,11,3,3,80,1,5,2,1,5,2,0,2,30.0,16013.401810893498
Ind164,No,57,1,334,2,24,2,1,1,223,3,1,83,4,3,5,4,3,9439,23402,3,1,16,3,2,80,1,12,2,1,5,3,1,4,32.9,16038.297956516113
Ind165,No,27,3,1450,2,3,3,2,1,224,3,1,79,2,1,2,3,3,2566,25326,1,1,15,3,4,80,1,1,2,2,1,1,0,1,34.2,14592.865053322093
Ind166,No,50,1,1452,2,11,3,1,1,226,3,2,53,3,5,6,2,1,19926,17053,3,2,15,3,2,80,0,21,5,3,5,4,4,4,40.1,11834.399050288945
Ind167,No,41,1,465,2,14,3,1,1,227,1,1,56,3,1,2,3,3,2451,4609,4,2,12,3,1,80,1,13,2,3,9,8,1,8,41.0,15132.73613366116
Ind168,No,30,1,1339,1,5,3,1,1,228,2,2,41,3,3,1,4,2,9419,8053,2,2,12,3,3,80,1,12,2,3,10,9,7,4,38.3,13678.884352519934
Ind169,No,38,1,702,1,1,4,1,1,230,1,2,59,2,2,1,4,1,8686,12930,4,2,22,4,3,80,0,12,2,4,8,3,0,7,32.6,10301.813978776187
Ind170,No,32,1,120,2,6,5,1,1,231,3,1,43,3,1,2,3,1,3038,12430,3,2,20,4,1,80,0,8,2,3,5,4,1,4,34.2,12206.505576669644
Ind171,No,27,1,1157,2,17,3,4,1,233,3,1,51,3,1,2,2,2,3058,13364,0,1,16,3,4,80,1,6,3,2,5,2,1,1,36.7,11585.410730338825
Ind172,Yes,19,2,602,1,1,1,4,1,235,3,2,100,1,1,7,1,1,2325,20989,0,2,21,4,1,80,0,1,5,4,0,0,0,0,41.3,10843.191939250537
Ind173,No,36,2,1480,2,3,2,2,1,238,4,1,30,3,1,3,2,1,2088,15062,4,2,12,3,3,80,0,13,3,2,8,7,7,2,37.7,16421.478958933978
Ind174,No,30,3,111,2,9,3,2,1,239,3,1,66,3,2,3,1,3,3072,11012,1,2,11,3,3,80,2,12,4,3,12,9,6,10,39.3,9003.526154508421
Ind175,No,45,1,1268,1,4,2,1,1,240,3,2,30,3,2,1,1,3,5006,6319,4,1,11,3,1,80,1,9,3,4,5,4,0,3,36.6,12669.013451714438
Ind176,No,56,1,713,2,8,3,1,1,241,3,2,67,3,1,2,1,3,4257,13939,4,1,18,3,3,80,1,19,3,3,2,2,2,2,34.7,10196.488139842457
Ind177,No,33,1,134,2,2,3,1,1,242,3,1,90,3,1,2,4,1,2500,10515,0,2,14,3,1,80,0,4,2,4,3,1,0,2,27.0,10899.464077026627
Ind178,Yes,19,1,303,2,2,3,1,1,243,2,1,47,2,1,3,4,1,1102,9241,1,2,22,4,3,80,0,1,3,2,1,0,1,0,33.1,13260.0209696617
Ind179,No,46,1,526,1,1,2,3,1,244,2,2,92,3,3,1,1,3,10453,2137,1,2,25,4,3,80,3,24,2,3,24,13,15,7,31.9,6798.650465037244
Ind180,No,38,1,1380,2,9,2,1,1,245,3,2,75,3,1,3,4,1,2288,6319,1,2,12,3,3,80,0,2,3,3,2,2,2,1,33.0,11912.388063568436
Ind181,No,31,1,140,2,12,1,2,1,246,3,2,95,3,1,2,4,2,3929,6984,8,1,23,4,3,80,1,7,0,3,4,2,0,2,33.4,11644.097212037808
Ind182,No,34,1,629,2,27,2,2,1,247,4,2,95,3,1,2,2,1,2311,5711,2,2,15,3,4,80,0,9,3,3,3,2,1,2,37.5,12509.900661725169
Ind183,Yes,41,1,1356,1,20,2,3,1,248,2,2,70,3,1,7,2,1,3140,21728,1,1,22,4,4,80,0,4,5,2,4,3,0,2,28.3,13218.7639935784
Ind184,No,50,1,328,2,1,3,2,1,249,3,1,86,2,1,3,3,2,3690,3425,2,2,15,3,4,80,1,5,2,2,3,2,0,2,37.5,13403.749261913455
Ind185,No,53,1,1084,2,13,2,2,1,250,4,2,57,4,2,4,1,3,4450,26250,1,2,11,3,3,80,2,5,3,3,4,2,1,3,33.3,10497.242940065
Ind186,No,33,1,931,2,14,3,2,1,252,4,2,72,3,1,2,2,2,2756,4673,1,2,13,3,4,80,1,8,5,3,8,7,1,6,27.3,13334.766276593738
Ind187,No,40,1,989,2,4,1,2,1,253,4,2,46,3,5,6,3,2,19033,6499,1,2,14,3,2,80,1,21,2,3,20,8,9,9,36.2,13050.814627145475
Ind188,No,55,1,692,2,14,4,2,1,254,3,1,61,4,5,8,2,1,18722,13339,8,2,11,3,4,80,0,36,3,3,24,15,2,15,29.2,13385.664547775063
Ind189,No,34,2,1069,2,2,1,1,1,256,4,1,45,2,2,4,3,2,9547,14074,1,2,17,3,3,80,0,10,2,2,10,9,1,9,42.5,11335.066873905642
Ind190,No,51,1,313,2,3,3,2,1,258,4,2,98,3,4,5,2,1,13734,7192,3,2,18,3,3,80,0,21,6,3,7,7,1,0,31.6,11526.457883241541
Ind191,No,52,1,699,2,1,4,1,1,259,3,1,65,2,5,6,3,2,19999,5678,0,2,14,3,1,80,1,34,5,3,33,18,11,9,41.2,13094.957424053528
Ind192,No,27,1,894,2,9,3,2,1,260,4,2,99,3,1,2,2,1,2279,11781,1,2,16,3,4,80,0,7,2,2,7,7,0,3,33.1,13125.364211763655
Ind193,Yes,35,1,556,2,23,2,1,1,261,2,1,50,2,2,4,3,2,5916,15497,3,1,13,3,1,80,0,8,1,3,1,0,0,1,29.9,8484.043370607615
Ind194,No,43,3,1344,2,7,3,2,1,262,4,1,37,4,1,2,4,3,2089,5228,4,2,14,3,4,80,3,7,3,4,5,4,2,2,39.7,11549.618733405052
Ind195,No,45,3,1195,2,2,2,2,1,264,1,1,65,2,4,6,4,2,16792,20462,9,2,23,4,4,80,1,22,1,3,20,8,11,8,32.9,13229.187648481578
Ind196,No,37,1,290,2,21,3,1,1,267,2,1,65,4,1,2,1,2,3564,22977,1,1,12,3,1,80,1,8,3,2,8,7,1,7,30.5,11127.788324514799
Ind197,No,35,2,138,2,2,3,2,1,269,2,2,37,3,2,3,2,1,4425,15986,5,2,11,3,4,80,0,10,5,3,6,2,1,2,30.9,12477.7474501457
Ind198,No,42,3,926,2,21,2,2,1,270,3,2,36,3,2,4,3,3,5265,16439,2,2,16,3,2,80,1,11,5,3,5,3,0,2,40.0,11087.175352862001
Ind199,No,38,1,1261,2,2,4,1,1,271,4,1,88,3,2,4,3,2,6553,7259,9,2,14,3,2,80,0,14,3,3,1,0,0,0,28.9,12047.499396414081
Ind200,No,38,1,1084,2,29,3,4,1,273,4,1,54,3,2,4,4,2,6261,4185,3,2,18,3,1,80,1,9,3,1,7,7,1,7,39.3,9161.229593063841
Ind201,No,27,2,472,2,1,1,4,1,274,3,1,60,2,2,4,1,2,4298,9679,5,2,19,3,3,80,1,6,1,3,2,2,2,0,30.6,8462.529913704153
Ind202,No,49,3,1002,2,18,4,1,1,275,4,1,92,3,2,4,4,3,6804,23793,1,1,15,3,1,80,2,7,0,3,7,7,1,7,37.5,8311.024148921906
Ind203,No,34,2,878,2,10,4,2,1,277,4,1,43,3,1,2,3,3,3815,5972,1,1,17,3,4,80,1,5,4,4,5,3,2,0,32.1,14188.635249222807
Ind204,No,40,1,905,2,19,2,2,1,281,3,1,99,3,2,3,4,2,2741,16523,8,1,15,3,3,80,1,15,2,4,7,2,3,7,37.1,12717.037655365722
Ind205,Yes,38,1,1180,2,29,1,2,1,282,2,1,70,3,2,5,1,2,6673,11354,7,1,19,3,2,80,0,17,2,3,1,0,0,0,33.4,13451.94374174158
Ind206,Yes,29,1,121,1,27,3,3,1,283,2,2,35,3,3,1,4,2,7639,24525,1,2,22,4,4,80,3,10,3,2,10,4,1,9,32.7,9632.961001470483
Ind207,No,22,1,1136,2,5,3,1,1,284,4,1,60,4,1,2,2,3,2328,12392,1,1,16,3,1,80,1,4,2,2,4,2,2,2,28.2,10142.051671430281
Ind208,No,36,2,635,2,18,1,2,1,286,2,2,73,3,1,3,4,1,2153,7703,1,2,13,3,1,80,0,8,2,3,8,1,1,7,44.5,10272.344798460499
Ind209,No,40,3,1151,2,9,5,1,1,287,4,1,63,2,2,5,4,2,4876,14242,9,2,14,3,4,80,1,5,5,1,3,2,0,2,28.9,10770.75482984081
Ind210,No,46,1,644,2,1,4,2,1,288,4,1,97,3,3,5,1,3,9396,12368,7,2,16,3,3,80,1,17,3,3,4,2,0,3,32.7,11684.570556870069
Ind211,Yes,32,1,1045,1,4,4,2,1,291,4,1,32,1,3,1,4,2,10400,25812,1,2,11,3,3,80,0,14,2,2,14,8,9,8,32.0,12511.215727579272
Ind212,No,30,3,829,2,1,1,1,1,292,3,1,88,2,3,4,3,1,8474,20925,1,2,22,4,3,80,0,12,2,3,11,8,5,8,37.9,12140.144201894376
Ind213,No,27,2,1242,1,20,3,1,1,293,4,2,90,3,2,1,3,1,9981,12916,1,2,14,3,4,80,0,7,2,3,7,7,0,7,39.7,9849.643682382955
Ind214,No,51,1,1469,2,8,4,1,1,296,2,1,81,2,3,8,2,2,12490,15736,5,2,16,3,4,80,2,16,5,1,10,9,4,7,36.5,8493.490631312425
Ind215,Yes,30,1,1005,2,3,3,4,1,297,4,2,88,3,1,2,1,1,2657,8556,5,1,11,3,3,80,0,8,5,3,5,2,0,4,31.1,11787.252755443642
Ind216,No,41,1,896,1,6,3,1,1,298,4,2,75,3,3,6,4,1,13591,14674,3,1,18,3,3,80,0,16,3,3,1,0,0,0,41.0,12675.915770729269
Ind217,Yes,30,2,334,1,26,4,3,1,299,3,2,52,2,2,1,1,1,6696,22967,5,2,15,3,3,80,0,9,5,2,6,3,0,1,32.0,15021.45541492695
Ind218,Yes,29,1,992,2,1,3,4,1,300,3,1,85,3,1,2,3,1,2058,19757,0,2,14,3,4,80,0,7,1,2,6,2,1,5,36.9,8824.652679834486
Ind219,No,45,3,1052,1,6,3,2,1,302,4,2,57,2,3,1,4,1,8865,16840,6,2,12,3,4,80,0,23,2,3,19,7,12,8,30.2,10890.960173223995
Ind220,No,54,1,1147,1,3,3,3,1,303,4,2,52,3,2,1,1,2,5940,17011,2,2,14,3,4,80,1,16,4,3,6,2,0,5,49.7,12575.289726880386
Ind221,No,36,1,1396,2,5,2,1,1,304,4,1,62,3,2,3,2,1,5914,9945,8,2,16,3,4,80,0,16,3,4,13,11,3,7,31.4,10514.125851634808
Ind222,No,33,1,147,2,4,4,2,1,305,3,2,47,2,1,2,2,2,2622,13248,6,2,21,4,4,80,0,7,3,3,3,2,1,1,30.1,11541.55293784882
Ind223,No,37,2,663,2,11,3,6,1,306,2,1,47,3,3,8,4,3,12185,10056,1,1,14,3,3,80,3,10,1,3,10,8,0,7,41.8,14053.380137608297
Ind224,No,38,1,119,1,3,3,1,1,307,1,1,76,3,3,1,3,3,10609,9647,0,2,12,3,3,80,2,17,6,2,16,10,5,13,29.7,15532.280826305841
Ind225,No,31,3,979,2,1,4,2,1,308,3,1,90,1,2,4,3,2,4345,4381,0,2,12,3,4,80,1,6,2,3,5,4,1,4,38.2,14007.150912787652
Ind226,No,59,1,142,2,3,3,1,1,309,3,1,70,2,1,2,4,2,2177,8456,3,2,17,3,1,80,1,7,6,3,1,0,0,0,29.8,13641.541721197029
Ind227,No,37,2,319,1,4,4,3,1,311,1,1,41,3,1,7,4,3,2793,2539,4,2,17,3,3,80,1,13,2,3,9,8,5,8,37.4,14649.229610740524
Ind228,No,29,2,1413,1,1,1,2,1,312,2,2,42,3,3,1,4,2,7918,6599,1,2,14,3,4,80,1,11,5,3,11,10,4,1,42.0,14584.510615974454
Ind229,No,35,2,944,1,1,3,3,1,314,3,2,92,3,3,1,3,1,8789,9096,1,2,14,3,1,80,0,10,3,4,10,7,0,8,36.4,9985.203200545062
Ind230,Yes,29,1,896,2,18,1,2,1,315,3,1,86,2,1,2,4,1,2389,14961,1,1,13,3,3,80,0,4,3,2,4,3,0,1,37.3,14663.724780900155
Ind231,No,52,1,1323,2,2,3,1,1,316,3,2,89,2,1,3,4,1,3212,3300,7,2,15,3,2,80,0,6,3,2,2,2,2,2,30.8,14057.690624259625
Ind232,No,42,1,532,2,4,2,4,1,319,3,1,58,3,5,6,4,2,19232,4933,1,2,11,3,4,80,0,22,3,3,22,17,11,15,38.6,14477.837081606212
Ind233,No,59,1,818,3,6,2,2,1,321,2,1,52,3,1,9,3,2,2267,25657,8,2,17,3,4,80,0,7,2,2,2,2,2,2,46.4,13649.3581992418
Ind234,No,50,1,854,1,1,4,2,1,323,4,2,68,3,5,6,4,3,19517,24118,3,2,11,3,3,80,1,32,3,2,7,0,0,6,26.1,14282.470843307854
Ind235,Yes,33,1,813,2,14,3,2,1,325,3,1,58,3,1,3,4,2,2436,22149,5,1,13,3,3,80,1,8,2,1,5,4,0,4,28.1,8479.379165712373
Ind236,No,43,1,1034,1,16,3,3,1,327,4,2,80,3,4,6,4,2,16064,7744,5,1,22,4,3,80,1,22,3,3,17,13,1,9,37.0,11662.694030235583
Ind237,Yes,33,1,465,2,2,2,1,1,328,1,2,39,3,1,3,1,2,2707,21509,7,2,20,4,1,80,0,13,3,4,9,7,1,7,39.8,10595.372708559793
Ind238,No,52,3,771,1,2,4,1,1,329,1,1,79,2,5,6,3,1,19068,21030,1,1,18,3,4,80,0,33,2,4,33,7,15,12,25.5,14533.206710182298
Ind239,No,32,1,1401,1,4,2,1,1,330,3,2,56,3,1,7,2,2,3931,20990,2,2,11,3,1,80,1,6,5,3,4,3,1,2,35.3,14994.721259279562
Ind240,Yes,32,1,515,2,1,3,1,1,331,4,1,62,2,1,3,3,1,3730,9571,0,1,14,3,4,80,0,4,2,1,3,2,1,2,26.3,10645.482089366425
Ind241,No,39,1,1431,2,1,4,2,1,332,3,2,96,3,1,3,3,3,2232,15417,7,2,14,3,3,80,3,7,1,3,3,2,1,2,42.2,11496.825864037852
Ind242,No,32,3,976,1,26,4,3,1,333,3,1,100,3,2,1,4,2,4465,12069,0,2,18,3,1,80,0,4,2,3,3,2,2,2,35.6,15133.076283899405
Ind243,No,41,1,1411,2,19,2,1,1,334,3,1,36,3,2,2,1,3,3072,19877,2,2,16,3,1,80,2,17,2,2,1,0,0,0,29.3,11287.615052977484
Ind244,No,40,1,1300,2,24,2,4,1,335,1,1,62,3,2,2,4,3,3319,24447,1,2,17,3,1,80,2,9,3,3,9,8,4,7,35.5,9537.149615230051
Ind245,No,45,1,252,2,1,3,6,1,336,3,1,70,4,5,6,4,2,19202,15970,0,2,11,3,3,80,1,25,2,3,24,0,1,7,33.1,13001.401442408202
Ind246,No,31,2,1327,2,3,4,2,1,337,2,1,73,3,3,8,3,3,13675,13523,9,2,12,3,1,80,1,9,3,3,2,2,2,2,36.6,10542.53386824939
Ind247,No,33,1,832,2,5,4,1,1,338,3,2,63,2,1,2,4,2,2911,14776,1,2,13,3,3,80,1,2,2,2,2,2,0,2,41.1,12910.712487773824
Ind248,No,34,1,470,2,2,4,1,1,339,4,1,84,2,2,4,1,2,5957,23687,6,2,13,3,2,80,1,13,3,3,11,9,5,9,38.7,11566.529470458128
Ind249,No,37,1,1017,2,1,2,2,1,340,3,2,83,2,1,2,1,2,3920,18697,2,2,14,3,1,80,1,17,2,2,3,1,0,2,36.9,10951.786428865336
Ind250,No,45,2,1199,2,7,4,1,1,341,1,1,77,4,2,4,3,2,6434,5118,4,2,17,3,4,80,1,9,1,3,3,2,0,2,30.0,9739.057962204412
Ind251,Yes,37,2,504,2,10,3,2,1,342,1,1,61,3,3,4,3,3,10048,22573,6,2,11,3,2,80,2,17,5,3,1,0,0,0,35.0,14191.607129523989
Ind252,No,39,2,505,2,2,4,4,1,343,3,2,64,3,3,5,3,1,10938,6420,0,2,25,4,4,80,0,20,1,3,19,6,11,8,38.0,6570.327238255422
Ind253,No,29,1,665,2,15,3,1,1,346,3,1,60,3,1,2,4,1,2340,22673,1,2,19,3,1,80,0,6,1,3,6,5,1,5,37.8,11574.14056260102
Ind254,No,42,1,916,2,17,2,1,1,347,4,2,82,4,2,2,1,1,6545,23016,3,1,13,3,3,80,0,10,1,3,3,2,0,2,35.0,13860.463333235737
Ind255,No,29,1,1247,1,20,2,3,1,349,4,1,45,3,2,1,4,3,6931,10732,2,2,14,3,4,80,1,10,2,3,3,2,0,2,31.6,13463.517501430555
Ind256,No,25,1,685,2,1,3,1,1,350,1,2,62,3,2,4,3,2,4898,7505,0,2,12,3,4,80,2,5,3,3,4,2,1,2,37.1,11416.3444663546
Ind257,No,42,1,269,2,2,3,2,1,351,4,2,56,2,1,3,1,3,2593,8007,0,1,11,3,3,80,1,10,4,3,9,6,7,8,34.4,13737.356016651098
Ind258,No,40,1,1416,2,2,2,2,1,352,1,1,49,3,5,8,3,3,19436,5949,0,2,19,3,4,80,1,22,5,3,21,7,3,9,29.9,13834.002434305205
Ind259,No,51,1,833,2,1,3,1,1,353,3,1,96,3,1,2,4,2,2723,23231,1,2,11,3,2,80,0,1,0,2,1,0,0,0,41.6,10490.876519084182
Ind260,Yes,31,2,307,2,29,2,2,1,355,3,1,71,2,1,3,2,1,3479,11652,0,2,11,3,2,80,0,6,2,4,5,4,1,4,34.2,10816.558773108922
Ind261,No,32,2,1311,2,7,3,1,1,359,2,1,100,4,1,3,2,2,2794,26062,1,2,20,4,3,80,0,5,3,1,5,1,0,3,31.0,13248.608494468095
Ind262,No,38,3,1327,1,2,2,1,1,361,4,1,39,2,2,1,4,2,5249,19682,3,2,18,3,4,80,1,13,0,3,8,7,7,5,42.8,10978.151440064323
Ind263,No,32,1,128,2,2,1,4,1,362,4,1,84,2,2,3,1,1,2176,19737,4,2,13,3,4,80,0,9,5,3,6,2,0,4,41.4,12388.609675328107
Ind264,No,46,1,488,1,2,3,4,1,363,3,2,75,1,4,6,2,2,16872,14977,3,1,12,3,2,80,1,28,2,2,7,7,7,7,39.9,8002.484295331664
Ind265,Yes,28,1,529,2,2,4,1,1,364,1,1,79,3,1,3,3,1,3485,14935,2,2,11,3,3,80,0,5,5,1,0,0,0,0,36.2,14897.994808906447
Ind266,No,29,1,1210,1,2,3,2,1,366,1,1,78,2,2,1,2,2,6644,3687,2,2,19,3,2,80,2,10,2,3,0,0,0,0,36.9,11173.450645340577
Ind267,No,31,1,1463,2,23,3,2,1,367,2,1,64,2,2,5,4,2,5582,14408,0,2,21,4,2,80,1,10,2,3,9,0,7,8,36.4,11807.725864155651
Ind268,No,25,3,675,2,5,2,1,1,369,2,1,85,4,2,5,1,3,4000,18384,1,2,12,3,4,80,2,6,2,3,6,3,1,5,32.8,12187.8383152084
Ind269,No,45,1,1385,2,20,2,2,1,372,3,1,79,3,4,5,4,2,13496,7501,0,1,14,3,2,80,0,21,2,3,20,7,4,10,37.4,13320.573390069683
Ind270,No,36,1,1403,2,6,3,1,1,373,4,1,47,3,1,3,4,2,3210,20251,0,2,11,3,3,80,1,16,4,3,15,13,10,11,39.3,10898.988914173216
Ind271,No,55,1,452,2,1,3,2,1,374,4,1,81,3,5,6,1,1,19045,18938,0,1,14,3,3,80,0,37,2,3,36,10,4,13,34.2,12202.555986410744
Ind272,Yes,47,3,666,2,29,4,1,1,376,1,1,88,3,3,6,2,2,11849,10268,1,1,12,3,4,80,1,10,2,2,10,7,9,9,43.8,14156.942056915384
Ind273,No,28,1,1158,2,9,3,2,1,377,4,1,94,3,1,2,4,2,2070,2613,1,2,23,4,4,80,1,5,3,2,5,2,0,4,32.6,11677.966429672406
Ind274,No,37,1,228,1,6,4,2,1,378,3,1,98,3,2,1,4,2,6502,22825,4,2,14,3,2,80,1,7,5,4,5,4,0,1,28.5,12095.393441181028
Ind275,No,21,1,996,2,3,2,2,1,379,4,1,100,2,1,2,3,1,3230,10531,1,2,17,3,1,80,0,3,4,4,3,2,1,0,31.9,9521.679689508783
Ind276,No,37,3,728,2,1,4,2,1,380,1,2,80,3,3,8,4,3,13603,11677,2,1,18,3,1,80,2,15,2,3,5,2,0,2,35.5,9324.988837895795
Ind277,No,35,1,1315,2,22,3,1,1,381,2,2,71,4,3,6,2,3,11996,19100,7,2,18,3,2,80,1,10,6,2,7,7,6,2,32.8,7600.998660056995
Ind278,No,38,1,322,1,7,2,2,1,382,1,2,44,4,2,1,1,3,5605,19191,1,1,24,4,3,80,1,8,3,3,8,0,7,7,37.8,10895.686863903744
Ind279,No,26,2,1479,2,1,3,1,1,384,3,2,84,3,2,4,2,3,6397,26767,1,2,20,4,1,80,1,6,6,1,6,5,1,4,35.3,13966.339547025626
Ind280,No,50,1,797,2,4,1,1,1,385,1,1,96,3,5,8,2,3,19144,15815,3,2,14,3,1,80,2,28,4,2,10,4,1,6,39.2,9306.878000612753
Ind281,No,53,1,1070,2,3,4,2,1,386,3,1,45,3,4,8,3,2,17584,21016,3,1,16,3,4,80,3,21,5,2,5,3,1,3,35.9,11125.861818376547
Ind282,No,42,1,635,1,1,1,1,1,387,2,1,99,3,2,1,3,2,4907,24532,1,2,25,4,3,80,0,20,3,3,20,16,11,6,44.4,12179.86175427124
Ind283,No,29,2,442,1,2,2,1,1,388,2,1,44,3,2,1,4,1,4554,20260,1,2,18,3,1,80,0,10,3,2,10,7,0,9,30.3,12202.583880120243
Ind284,No,55,1,147,2,20,2,4,1,389,2,1,37,3,2,3,4,2,5415,15972,3,1,19,3,4,80,1,12,4,3,10,7,0,8,36.7,13354.513926192512
Ind285,No,26,2,496,2,11,2,2,1,390,1,1,60,3,2,5,1,2,4741,22722,1,1,13,3,3,80,1,5,3,3,5,3,3,3,35.6,11406.188224670444
Ind286,No,37,1,1372,2,1,3,1,1,391,4,2,42,3,1,2,4,1,2115,15881,1,2,12,3,2,80,0,17,3,3,17,12,5,7,32.2,13003.156951861765
Ind287,Yes,44,2,920,2,24,3,1,1,392,4,1,43,3,1,3,3,3,3161,19920,3,1,22,4,4,80,1,19,0,1,1,0,0,0,36.8,11401.055423902591
Ind288,No,38,1,688,2,23,4,1,1,393,4,1,82,3,2,5,4,3,5745,18899,9,2,14,3,2,80,1,10,2,3,2,2,1,2,37.4,9703.363938199618
Ind289,Yes,26,1,1449,2,16,4,2,1,394,1,1,45,3,1,3,2,3,2373,14180,2,1,13,3,4,80,1,5,2,3,3,2,0,2,36.8,10831.725168053126
Ind290,No,28,1,1117,2,8,2,1,1,395,4,2,66,3,1,2,4,1,3310,4488,1,2,21,4,4,80,0,5,3,3,5,3,0,2,32.4,12051.450866583315
Ind291,No,49,2,636,2,10,4,1,1,396,3,2,35,3,5,8,1,1,18665,25594,9,1,11,3,4,80,0,22,4,3,3,2,1,2,25.6,13016.470224810313
Ind292,No,36,1,506,2,3,3,4,1,397,3,1,30,3,2,2,2,1,4485,26285,4,2,12,3,4,80,0,10,2,3,8,0,7,7,33.5,11873.828108509135
Ind293,No,31,2,444,1,5,3,3,1,399,4,2,84,3,1,7,2,3,2789,3909,1,2,11,3,3,80,1,2,5,2,2,2,2,2,42.2,9553.067381142026
Ind294,Yes,26,1,950,1,4,4,3,1,401,4,1,48,2,2,1,4,1,5828,8450,1,1,12,3,2,80,0,8,0,3,8,7,7,4,38.6,10759.365218799516
Ind295,No,37,2,889,2,9,3,2,1,403,2,1,53,3,1,2,4,2,2326,11411,1,1,12,3,3,80,3,4,3,2,4,2,1,2,40.0,13137.418618704909
Ind296,No,42,2,555,1,26,3,3,1,404,3,2,77,3,4,1,2,2,13525,14864,5,2,14,3,4,80,1,23,2,4,20,4,4,8,40.9,12628.145778123666
Ind297,Yes,18,1,230,2,3,3,1,1,405,3,1,54,3,1,3,3,1,1420,25233,1,2,13,3,3,80,0,0,2,3,0,0,0,0,35.8,12260.314171712518
Ind298,No,35,1,1232,1,16,3,3,1,406,3,1,96,3,3,1,2,2,8020,5100,0,2,15,3,3,80,2,12,3,2,11,9,6,9,33.7,12527.942062629872
Ind299,No,36,2,566,2,18,4,1,1,407,3,1,81,4,1,3,4,2,3688,7122,4,2,18,3,4,80,2,4,2,3,1,0,0,0,40.9,11119.54539337925
Ind300,No,51,1,1302,2,2,3,2,1,408,4,1,84,1,2,4,2,3,5482,16321,5,2,18,3,4,80,1,13,3,3,4,1,1,2,25.4,12399.259975933752
Ind301,No,41,1,334,1,2,4,1,1,410,4,1,88,3,4,6,2,1,16015,15896,1,2,19,3,2,80,0,22,2,3,22,10,0,4,33.0,13841.653020878171
Ind302,No,18,1,812,1,10,3,2,1,411,4,2,69,2,1,7,3,1,1200,9724,1,2,12,3,1,80,0,0,2,3,0,0,0,0,38.4,11914.874581367867
Ind303,No,28,1,1476,2,16,2,2,1,412,2,1,68,4,2,5,1,1,5661,4824,0,2,19,3,3,80,0,9,2,3,8,3,0,7,35.6,12914.608934721145
Ind304,No,31,1,218,1,7,3,4,1,416,2,1,100,4,2,1,4,2,6929,12241,4,2,11,3,2,80,1,10,3,2,8,7,7,7,31.7,15728.965541323927
Ind305,No,39,1,1132,2,1,3,2,1,417,3,1,48,4,3,5,4,3,9613,10942,0,2,17,3,1,80,3,19,5,2,18,10,3,7,37.3,9469.302189449005
Ind306,No,36,3,1105,2,24,4,1,1,419,2,2,47,3,2,3,2,2,5674,6927,7,2,15,3,3,80,1,11,3,3,9,8,0,8,35.2,13574.026428111352
Ind307,No,32,1,906,1,7,3,1,1,420,4,1,91,2,2,1,3,2,5484,16985,1,2,14,3,3,80,1,13,3,2,13,8,4,8,30.1,12975.831068402003
Ind308,No,38,1,849,2,25,2,1,1,421,1,2,81,2,3,8,2,2,12061,26707,3,2,17,3,3,80,1,19,2,3,10,8,0,1,35.4,10111.910516188458
